"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DUT.6",4.37384948479156e-20,-0.788329268661852,0.186,0.492,1.46690164020939e-15,"C21","DUT"
"SNRPD2.4",4.71624487728125e-20,-0.552984423029949,0.765,0.895,1.58173420694259e-15,"C21","SNRPD2"
"LRRFIP2.3",4.72657338019372e-20,0.556748305573927,0.394,0.167,1.58519818024937e-15,"C21","LRRFIP2"
"SEC11A.9",4.98540530800734e-20,0.667748308879943,0.719,0.499,1.6720052321995e-15,"C21","SEC11A"
"APOBEC3G.13",5.06994202458301e-20,-0.997011623262721,0.05,0.345,1.70035715620465e-15,"C21","APOBEC3G"
"TPP1.5",5.59401485013405e-20,0.535638641980567,0.43,0.195,1.87612070043796e-15,"C21","TPP1"
"OPTN.10",5.81038509157639e-20,-0.7762665526358,0.235,0.523,1.94868695201289e-15,"C21","OPTN"
"VKORC1.1",6.11341358226932e-20,0.343200379056121,0.217,0.065,2.05031664722149e-15,"C21","VKORC1"
"MATR3.1.2",6.13339091380726e-20,-0.832178883152062,0.258,0.519,2.05701664467268e-15,"C21","MATR3.1"
"XRCC6.4",6.8864235043103e-20,-0.681566757859245,0.38,0.638,2.30956871487559e-15,"C21","XRCC6"
"ATP5IF1.8",7.72482697925827e-20,-0.705025296240924,0.398,0.657,2.59075247230364e-15,"C21","ATP5IF1"
"ZNF428.7",7.94702070168525e-20,-0.782674236012268,0.09,0.378,2.6652718029312e-15,"C21","ZNF428"
"SIT1.14",8.23796191488893e-20,-0.826413363696356,0.059,0.358,2.76284766701545e-15,"C21","SIT1"
"SH3KBP1.9",9.20576761516094e-20,-0.721126191475958,0.208,0.505,3.08743034277268e-15,"C21","SH3KBP1"
"FKBP5.10",9.28801913538078e-20,-0.895313553092196,0.113,0.414,3.11501585762401e-15,"C21","FKBP5"
"EIF5A.7",9.51854678439779e-20,-0.688936475568515,0.502,0.729,3.19233022055133e-15,"C21","EIF5A"
"CYLD.8",1.00477617976465e-19,-0.788516411115047,0.176,0.467,3.36981835169468e-15,"C21","CYLD"
"RCSD1.10",1.11864416257036e-19,-0.80059699397029,0.204,0.502,3.75170879242847e-15,"C21","RCSD1"
"RPL37A.15",1.33974496556216e-19,-0.437279937495326,0.95,0.98,4.49323666550238e-15,"C21","RPL37A"
"H3F3B.6",1.3637207318196e-19,0.740651519998953,0.982,0.983,4.57364659037656e-15,"C21","H3F3B"
"LONP1",1.56230474061169e-19,0.326410288588959,0.127,0.027,5.23965763906349e-15,"C21","LONP1"
"PFDN2.3",1.57201195475912e-19,0.697792791317807,0.611,0.382,5.27221369387114e-15,"C21","PFDN2"
"SYTL1.6",1.57648567120232e-19,-0.756492752676408,0.032,0.317,5.28721764407834e-15,"C21","SYTL1"
"TPD52L2.1",1.66774915207265e-19,0.537702669312788,0.376,0.158,5.59329710622125e-15,"C21","TPD52L2"
"RRBP1.5",1.79593752325161e-19,0.607053632638235,0.376,0.16,6.02321526548126e-15,"C21","RRBP1"
"FOSB.6",1.96070061739171e-19,0.447681675955445,0.213,0.063,6.57579773060833e-15,"C21","FOSB"
"MZT2A.6",1.99532228126967e-19,-0.779930562660645,0.136,0.428,6.69191186692221e-15,"C21","MZT2A"
"LAMP2.2",2.24685297776892e-19,0.429616037281189,0.385,0.161,7.5354955168414e-15,"C21","LAMP2"
"INPP4B.13",2.48193545164153e-19,-0.720183871970504,0.036,0.33,8.32391511771535e-15,"C21","INPP4B"
"MUM1",2.59470648103464e-19,0.432558595340585,0.208,0.063,8.70212659609399e-15,"C21","MUM1"
"SKP1.4",2.65501009546002e-19,-0.52462094832872,0.729,0.885,8.90437285815383e-15,"C21","SKP1"
"CCT7.3",3.09407024813934e-19,-0.70939569583624,0.244,0.534,1.03768927982097e-14,"C21","CCT7"
